,index,BYRNO,IsBadBuy,IsOnlineSale,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,RefId,VNZIP1,VehBCost,VehOdo,VehYear,VehicleAge,WarrantyCost,WheelTypeID
index,1.0,0.0302183331184,0.285073720415,-0.0116343933683,-0.0134505762855,-0.0150156141913,-0.0215095256857,-0.0225457482229,-0.0131607395297,-0.0150449064554,-0.0200903878738,-0.0214232135781,0.245213562457,0.107453756748,-0.0148699804174,-0.00122933390251,-0.00347940656473,-0.00402189125249,0.00187309463924,0.025264887126
BYRNO,0.0302183331184,1.0,-0.00429613393583,-0.137628707486,0.102988185133,0.0618317326384,0.103449330637,0.0697449823723,0.107952865742,0.0699595329074,0.107440254079,0.0753306514154,-0.00134982864437,0.0900945770789,0.0400319978562,-0.264410715791,0.27259525681,-0.260838211569,-0.0750752474791,0.173412285139
IsBadBuy,0.285073720415,-0.00429613393583,1.0,0.00827664753823,-0.0366297155411,-0.0367357175611,-0.0360050699797,-0.0364417172701,-0.0318771973484,-0.0324995740072,-0.0391361366302,-0.0394549520403,-0.765611169346,0.0671972594256,-0.0400931253376,0.0245601633542,-0.0486797156275,0.0442237389095,0.0135212114472,0.0142541769129
IsOnlineSale,-0.0116343933683,-0.137628707486,0.00827664753823,1.0,0.0489112074017,0.0471583887236,0.0895130413338,0.0854875195252,0.0503651918034,0.0495849206626,0.0870533423528,0.0835500452628,-0.0171270264691,0.0186749451068,0.0411881706311,0.0272618482192,0.0694550681804,-0.0367099988114,0.0016479319245,0.0027726241898
MMRAcquisitionAuctionAveragePrice,-0.0134505762855,0.102988185133,-0.0366297155411,0.0489112074017,1.0,0.990639569879,0.910143899567,0.910452670892,0.94041267506,0.935098244162,0.874881381734,0.874078264289,-0.00625802081273,0.0319392705974,0.785488712575,-0.00380415329676,0.588775731721,-0.574975544029,-0.0524117005513,-0.0951855775716
MMRAcquisitionAuctionCleanPrice,-0.0150156141913,0.0618317326384,-0.0367357175611,0.0471583887236,0.990639569879,1.0,0.902423203413,0.918000000093,0.926712152904,0.934562833393,0.864155756465,0.874004528798,-0.00469941644662,0.0255963538785,0.777200533228,0.0344806356693,0.543034015094,-0.530857755427,-0.0239017101168,-0.127428361486
MMRAcquisitionRetailAveragePrice,-0.0215095256857,0.103449330637,-0.0360050699797,0.0895130413338,0.910143899567,0.902423203413,1.0,0.990316410903,0.853672267097,0.851392495087,0.914760427099,0.907502085905,-0.00352777889624,0.0265429266488,0.742861375113,0.0436598147937,0.589927430535,-0.470288645387,-0.0565896104715,-0.0721740758525
MMRAcquisitonRetailCleanPrice,-0.0225457482229,0.0697449823723,-0.0364417172701,0.0854875195252,0.910452670892,0.918000000093,0.990316410903,1.0,0.849652402024,0.857840677183,0.905395635169,0.908381392555,-0.00223215560401,0.0209006450036,0.741495128149,0.0727229417773,0.550365545448,-0.438503270441,-0.0309970800569,-0.0999396697821
MMRCurrentAuctionAveragePrice,-0.0131607395297,0.107952865742,-0.0318771973484,0.0503651918034,0.94041267506,0.926712152904,0.853672267097,0.849652402024,1.0,0.990682807049,0.915530477484,0.912877166029,-0.0113506882429,0.0362436785468,0.773774380739,-0.0151802042644,0.597129714843,-0.583944132528,-0.0568065570709,-0.0899950343908
MMRCurrentAuctionCleanPrice,-0.0150449064554,0.0699595329074,-0.0324995740072,0.0495849206626,0.935098244162,0.934562833393,0.851392495087,0.857840677183,0.990682807049,1.0,0.909439765776,0.92194169133,-0.00981640181178,0.0302489628282,0.770163068103,0.0221176464673,0.557394492141,-0.543583663917,-0.0289535443353,-0.120624744773
MMRCurrentRetailAveragePrice,-0.0200903878738,0.107440254079,-0.0391361366302,0.0870533423528,0.874881381734,0.864155756465,0.914760427099,0.905395635169,0.915530477484,0.909439765776,1.0,0.989823451061,-0.00525947253777,0.0301086695352,0.753322518421,0.0275088935572,0.605894579782,-0.513696092363,-0.0587175354931,-0.0755793198916
MMRCurrentRetailCleanPrice,-0.0214232135781,0.0753306514154,-0.0394549520403,0.0835500452628,0.874078264289,0.874004528798,0.907502085905,0.908381392555,0.912877166029,0.92194169133,0.989823451061,1.0,-0.00427750279603,0.0249844213961,0.753028565711,0.0568216663867,0.568143970084,-0.481157835129,-0.0331634229794,-0.102229732272
RefId,0.245213562457,-0.00134982864437,-0.765611169346,-0.0171270264691,-0.00625802081273,-0.00469941644662,-0.00352777889624,-0.00223215560401,-0.0113506882429,-0.00981640181178,-0.00525947253777,-0.00427750279603,1.0,-0.0135574801436,0.000205543792168,0.00193450880875,-0.00524970896116,0.00918860031563,0.00477504452138,-0.0168208481805
VNZIP1,0.107453756748,0.0900945770789,0.0671972594256,0.0186749451068,0.0319392705974,0.0255963538785,0.0265429266488,0.0209006450036,0.0362436785468,0.0302489628282,0.0301086695352,0.0249844213961,-0.0135574801436,1.0,0.00239194123515,-0.0612218421466,0.0757175785371,-0.0789210242581,-0.0466817770114,0.0216355057905
VehBCost,-0.0148699804174,0.0400319978562,-0.0400931253376,0.0411881706311,0.785488712575,0.777200533228,0.742861375113,0.741495128149,0.773774380739,0.770163068103,0.753322518421,0.753028565711,0.000205543792168,0.00239194123515,1.0,-0.0572757355722,0.352922606956,-0.316446378013,-0.037318435649,-0.165085364206
VehOdo,-0.00122933390251,-0.264410715791,0.0245601633542,0.0272618482192,-0.00380415329676,0.0344806356693,0.0436598147937,0.0727229417773,-0.0151802042644,0.0221176464673,0.0275088935572,0.0568216663867,0.00193450880875,-0.0612218421466,-0.0572757355722,1.0,-0.263562139228,0.299374387144,0.409983495628,-0.199088758882
VehYear,-0.00347940656473,0.27259525681,-0.0486797156275,0.0694550681804,0.588775731721,0.543034015094,0.589927430535,0.550365545448,0.597129714843,0.557394492141,0.605894579782,0.568143970084,-0.00524970896116,0.0757175785371,0.352922606956,-0.263562139228,1.0,-0.957991423231,-0.264984780687,0.250105813466
VehicleAge,-0.00402189125249,-0.260838211569,0.0442237389095,-0.0367099988114,-0.574975544029,-0.530857755427,-0.470288645387,-0.438503270441,-0.583944132528,-0.543583663917,-0.513696092363,-0.481157835129,0.00918860031563,-0.0789210242581,-0.316446378013,0.299374387144,-0.957991423231,1.0,0.255105243316,-0.240694174237
WarrantyCost,0.00187309463924,-0.0750752474791,0.0135212114472,0.0016479319245,-0.0524117005513,-0.0239017101168,-0.0565896104715,-0.0309970800569,-0.0568065570709,-0.0289535443353,-0.0587175354931,-0.0331634229794,0.00477504452138,-0.0466817770114,-0.037318435649,0.409983495628,-0.264984780687,0.255105243316,1.0,-0.126299509513
WheelTypeID,0.025264887126,0.173412285139,0.0142541769129,0.0027726241898,-0.0951855775716,-0.127428361486,-0.0721740758525,-0.0999396697821,-0.0899950343908,-0.120624744773,-0.0755793198916,-0.102229732272,-0.0168208481805,0.0216355057905,-0.165085364206,-0.199088758882,0.250105813466,-0.240694174237,-0.126299509513,1.0
